No,Item,Image,Description,Categories,Price,Resto Name,City,Kecamatan,Location
62,Niku Udon,https://static01.nyt.com/images/2022/10/19/dining/19kenjirex-udon1/19kenji3-threeByTwoMediumAt2X.jpg,Mie Udon disajikan dengan sup kake dashi dan daging sapi sukiyaki impor yang manis juga gurih.,Makanan Cepat Saji,58000,Marugame Udon,Jakarta Selatan,Cilandak,"Jl. TB Simatupang No.17, RT.6/RW.9, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430"
63,Nasi Ayam Geprek Keju,https://ayamkeprabon.com/data/foto_berita/ayam%20geprek%20blenger.jpg,"Nasi dengan ayam geprek, telur, keju mozzarella, dan sambal dengan level kepedasan yang berbeda-beda",Makanan Cepat Saji,29000,Ayam Keprabon Express,Jakarta Selatan,Kebayoran Baru,"Jl. Radio Dalam Raya No.14D, Gandaria Utara, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12140"
64,Beef Yakiniku,https://www.dreamers.id/img_artikel/11resep-beef-yakiniki-makanan-jepang.jpg,"Daging sapi premium, irisan bawang bombay dan paprika hijau dimasak dengan saus yakiniku spesial.",Makanan Cepat Saji,43500,Hokben,Jakarta Selatan,Kebayoran Lama,"Jl. Sultan Iskandar Muda No.8B, Kby. Lama Sel., Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240"
65,Mie Ayam Pedas,https://i0.wp.com/resepkoki.id/wp-content/uploads/2020/03/Resep-Mie-Setan.jpg?fit=1079%2C1214&ssl=1,"Mie ayam dengan rasa manis dan spicy, tersedia pilihan level kepedasan",Makanan Cepat Saji,15000,Mie Gacoan,Jakarta Selatan,Tebet,"Jl. Tebet Raya No.35, RT.2/RW.2, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820"
66,Fire Chicken,https://www.pinhome.id/blog/wp-content/uploads/2023/12/Ayam-goreng-saus-pedas.jpg,Ayam goreng crispy dengan balutan saus BBQ yang memiliki level kepedasan berbeda,Makanan Cepat Saji,27273,Richeese Factory,Jakarta Selatan,Tebet,"Jl. Letjen M.T. Haryono Kav 8, Unit No. 5 & 6, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810"
67,Nasi Goreng,https://www.blibli.com/friends-backend/wp-content/uploads/2023/04/B300026-Cover-resep-nasi-goreng-scaled.jpg,"Nasi yang digoreng dengan bumbu seperti bawang putih, bawang merah, kecap manis, dan rempah-rempah lain.",Makanan Cepat Saji,34545,Bakmi GM,Jakarta Selatan,Kebayoran Baru,"Jl. Melawai Raya No.3 4, RT.4/RW.5, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160"
68,Cheese Burger,https://img.freepik.com/premium-photo/burger-food-food-photography-cheese-burger_1272795-23.jpg,Burger yang terdiri dari patty daging sapi yang dimasak dan diberi selembar keju di atasnya,Makanan Cepat Saji,57000,Lawless Burger,Jakarta Selatan,Mampang Prapatan,"Jl. Kemang Selatan VIII No.67K 7, RT.7/RW.2, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730"
69,Mie Goreng,https://aslimasako.com/storage/post/new-title-29022024-100423.jpg,Mie kuning yang digoreng dengan sedikit minyak dengan bumbu rempah-rempah khas Indonesia,Makanan Cepat Saji,40000,Bakmi GM,Jakarta Selatan,Kebayoran Baru,"Jl. Melawai Raya No.3 4, RT.4/RW.5, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160"
70,Spicy Chicken Strips,https://www.thespruceeats.com/thmb/c86z_0bK4zKAU70EdvqFeHftXpE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/spicy-fried-chicken-strips-3056880-hero-01-e5bad43e0d3441749f17c1b98b5486c2.jpg,"Potongan daging ayam yang dibumbui dengan campuran rempah-rempah pedas, kemudian digoreng hingga renyah",Makanan Cepat Saji,25000,Jatinangor House,Jakarta Selatan,Tebet,"Jl. Manggarai Selatan I No.25, RT.11/RW.1, Manggarai, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12850"
71,Waffle Chicken Sandwich,https://recipes.net/wp-content/uploads/2023/05/chicken-and-waffle-breakfast-sandwich-recipe_d39572f0e99846a398fad3d9172131a0.jpeg,Perpaduan antara ayam goreng renyah dan waffle yang lembut serta sedikit manis,Makanan Cepat Saji,48000,Flip N Fry,Jakarta Selatan,Kebayoran Lama,"Jl. Metro Pondok Indah Kav.IV/TA, Pd. Pinang, Kec. Kby. Lama, Daerah Khusus Ibukota Jakarta 12310"
72,Kebab,https://asset.kompas.com/crops/-hD1YcDUzfsLZOgxLg5DiyyP5Yg=/100x114:900x647/750x500/data/photo/2023/10/23/6536a299a300a.jpg,"Daging yang dipotong tipis-tipis, ditumpuk, dan dipanggang secara vertikal. Daging ini kemudian diiris dan disajikan dalam roti pita atau flatbread.",Makanan Cepat Saji,34545,Doner Kebab,Jakarta Selatan,Tebet,"Jl. Raya Casablanca No.88 16, RT.16/RW.5, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870"
73,Nasi Ikan Goreng Tepung,https://img.kurio.network/Q1IfigOAfyZQ5-Wsyk7FBJAd6Kg=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/22/01/18/4fd7497f-8314-403b-8ebf-a55313fb1aba.jpe,Nasi dengan ikan goreng dibalut tepung dengan pilihan sambal khas Indonesia,Makanan Cepat Saji,19000,Ngikan,Jakarta Selatan,Cilandak,"Kampung Artis, Jl. Lebak Bulus I No.5, RT.1/RW.1, Lb. Bulus, Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12440"
74,Pangsit Goreng,https://www.sasa.co.id/medias/page_medias/Screen_Shot_2021-07-19_at_16_32_53.png,Pangsit ayam atau udang yang digoreng renyah dengan saus asam manis,Makanan Cepat Saji,15455,Bakmi GM,Jakarta Selatan,Kebayoran Baru,"Jl. Melawai Raya No.3 4, RT.4/RW.5, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160"
75,Chicken Burger,https://asset.kompas.com/crops/S7vCL7w60DW4gZvn427A4K1KZKE=/120x113:815x577/750x500/data/photo/2022/01/25/61ef4b60ead1d.jpeg,Burger ayam goreng dengan saus Nashville yang pedasnya smokey dari cayenne pepper,Makanan Cepat Saji,39000,KFC,Jakarta Selatan,Jagakarsa,"Jl. Raya Lenteng Agung No.10, RT.5/RW.2, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630"
76,Fried Chicken,https://static.toiimg.com/thumb/61589069.cms?width=1200&height=900,"Hidangan yang terdiri dari potongan daging ayam yang dilapisi dengan tepung atau adonan yang dibumbui, kemudian digoreng.",Makanan Cepat Saji,16818,KFC,Jakarta Selatan,Jagakarsa,"Jl. Raya Lenteng Agung No.10, RT.5/RW.2, Srengseng Sawah, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630"
77,Kentang Goreng Bumbu,https://asset.kompas.com/crops/3_pP4G38V1ulz1HVZJuCZv0Cjy8=/0x2:880x588/750x500/data/photo/2022/09/14/632159cd811f2.jpg,Kentang yang digoreng renyah dan diberikan beragam pilihan rasa,Makanan Cepat Saji,25000,Shake Shake In A Tub,Jakarta Selatan,Kebayoran Lama,"Jl. Metro Pondok Indah Kav.IV/TA, Pd. Pinang, Kec. Kby. Lama, Daerah Khusus Ibukota Jakarta 12310"
78,Crispy Chicken,https://www.masakapahariini.com/wp-content/uploads/2021/08/Ayam-Crispy-Taiwan.jpg,Ayam yang dibaluti dengan tepung yang digoreng hingga renyah dan diberikan bumbu,Makanan Cepat Saji,43000,Shihlin,Jakarta Selatan,Kebayoran Lama,"Lower Ground # 107A, Gandaria City, Jl KH. M. Syafii Hadzami no. 8, Kebayoran Lam, RT.10/RW.6, Kby. Lama Utara, Kec. Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240"
79,Chicken Katsu,"https://cdn.apartmenttherapy.info/image/upload/f_jpg,q_auto:eco,c_fill,g_auto,w_1500,ar_4:3/k%2FPhoto%2FRecipes%2F2024-05-chicken-katsu-190%2Fchicken-katsu-190-069-horizontal",Ayam fillet yang dibaluti tepung panko/roti dan digoreng hingga renyah,Makanan Cepat Saji,35000,Kimukatsu,Jakarta Selatan,Pasar Minggu,"Jl. Warung Jati Barat No.39, RT.1/RW.5, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540"
80,Pepperoni Pizza,https://i0.wp.com/www.amysrecipebook.com/wp-content/uploads/2021/01/pepperonipizza-8-web.jpg?resize=1024%2C683&ssl=1,Pizza dengan topping pepperoni sapi dan keju mozzarella,Makanan Cepat Saji,96364,Pizza Hut,Jakarta Selatan,Kebayoran Lama,"Jl. Moch. Kahfi II No.24, RT.7/RW.3, Cipedak, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630"
81,Pourred Tiramisu Cake,https://www.google.com/url?sa=i&url=https%3A%2F%2Fpergikuliner.com%2Frestaurants%2Fjakarta%2Fscarlett-s-cafe-senopati&psig=AOvVaw2n8H74pB0Ov7eQkzevGhQN&ust=1728372859924000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCIiFwuTg-4gDFQAAAAAdAAAAABAE,Sebuah hidangan penutup klasik dengan rasa creamy dan pahit yang berpadu sempurna. Kue tiramisu ini disajikan dengan lapisan kue yang lembut dan siraman saus kopi espresso yang kental. ,Makanan Penutup,60000,Scarlett's,Jakarta Selatan,Kebayoran Baru,"Jl. Sultan Hasanudin Dalam, Blok M, Kebayoran Baru, Jakarta Selatan"
82,Matcha Strawberry,https://assets-pergikuliner.com/9MybUAe5TX79uk4WcoGdP9E-SBA=/624x0/smart/filters:no_upscale()/https://assets-pergikuliner.com/uploads/image/picture/2980149/picture-1689857076.JPG,Hidangan penutup ini memadukan kekayaan rasa matcha dengan kesegaran stroberi yang manis. Potongan kue yang lembut dengan lapisan krim matcha yang ringan dan topping stroberi segar menjadikan dessert ini pilihan yang pas bagi pecinta matcha.,Makanan Penutup,75000,Scarlett's,Jakarta Selatan,Kebayoran Baru,"Jl. Sultan Hasanudin Dalam, Blok M, Kebayoran Baru, Jakarta Selatan"
83,Cookie D'OH Gelato,"https://assets-pergikuliner.com/pvidG9v_YDsAKkj-zaWxSzb5sno=/624x0/smart/filters:watermark(https://assets-pergikuliner.com/uploads/image/picture/401639/picture-1481204613.png,-0,-3,20):no_upscale()/https://assets-pergikuliner.com/uploads/image/picture/3155320/picture-1704968481.jpg",Gelato dengan tekstur lembut dan rasa unik yang terinspirasi dari adonan kue. Kombinasi rasa manis dan gurih dari gelato ini membuatnya terasa kaya dan memanjakan lidah.,Makanan Penutup,45000,Cold Moo,Jakarta Selatan,Kebayoran Baru,"Ruko Darmawangsa Square, No. 20, Jl. Darmawangsa VI, Darmawangsa, Kebayoran Baru, Jakarta Selatan"
84,Special K Gelato,"https://assets-pergikuliner.com/v5rbuoDZ_MCznySd4p0DaXAXRWI=/624x0/smart/filters:watermark(https://assets-pergikuliner.com/uploads/image/picture/401639/picture-1481204613.png,-0,-3,20):no_upscale()/https://assets-pergikuliner.com/uploads/image/picture/3155321/picture-1704968578.jpg","Gelato dengan rasa creamy yang kaya dan rasa manis yang pas, disajikan dengan tambahan topping renyah yang memberikan tekstur kontras.",Makanan Penutup,45000,Cold Moo,Jakarta Selatan,Kebayoran Baru,"Ruko Darmawangsa Square, No. 20, Jl. Darmawangsa VI, Darmawangsa, Kebayoran Baru, Jakarta Selatan"
85,Dark Chocolate Ice Cream,https://images.tokopedia.net/img/cache/700/product-1/2020/4/21/83814180/83814180_9e391bd7-8a78-49e0-92d6-8066837fa33c_600_600,Es krim cokelat dengan rasa cokelat pekat yang intens dan tekstur yang lembut. Kelezatan es krim ini akan memanjakan pecinta cokelat dengan rasa yang kaya dan tidak terlalu manis.,Makanan Penutup,45000,Paris Sorbet,Jakarta Selatan,Kebayoran Baru,"Jl. Sultan Hasanudin Dalam, Blok M, Kebayoran Baru, Jakarta Selatan"
86,Donat Bahagia Package,https://cdn.idntimes.com/content-images/post/20230803/363817291-18224574733242755-3803106520048512043-n-a50398cbb96dcdd30afa130eef933306_600x400.jpg,"Paket donat dengan berbagai varian rasa dan topping yang menggoda. Setiap gigitan memberikan sensasi kenikmatan yang lembut dan manis, cocok untuk dinikmati bersama keluarga atau teman-teman.",Makanan Penutup,114000,Donat Bahagia,Jakarta Selatan,Cilandak,"Jl. Cipete Dalam No. 37, Fatmawati, Jakarta Selatan"
87,Moreau Crepe,https://assets-pergikuliner.com/L0YLtfXrG8Lh0fPdHlu-jXN3T0E=/312x0/smart/https://assets-pergikuliner.com/uploads/image/picture/2321847/picture-1633772603.jpg,"Crepe tipis yang dilipat dengan isian krim yang lezat dan topping buah segar. Rasa manis yang pas berpadu dengan tekstur lembut crepe, memberikan sensasi yang menyenangkan pada setiap gigitan.",Makanan Penutup,71000,MOREAU Chocolatier's Cafe,Jakarta Selatan,Mampang Prapatan,"13, Jl. Kemang Raya No.31, RT.13/RW.1, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720"
88,Fete DE Crepes,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShA5TZfItOIIsy-yvbpBqCM0bXIk3fERLquQ&s,Crepe premium dengan berbagai lapisan isian mewah dan topping krim yang disusun dengan indah. Kombinasi rasa manis dan tekstur crepe yang lembut menjadikannya sajian elegan,Makanan Penutup,96000,MOREAU Chocolatier's Cafe,Jakarta Selatan,Mampang Prapatan,"13, Jl. Kemang Raya No.31, RT.13/RW.1, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12720"
89,Mille Crepes Redvelvet,https://assets-pergikuliner.com/kA98I2tjFMbmJpO_UbzpA5IevQo=/770x580/smart/filters:no_upscale()/https://assets-pergikuliner.com/uploads/image/picture/2726009/picture-1669102986.jpg,"Kue crepe dengan lapisan tipis yang disusun berulang-ulang, menciptakan tekstur yang unik dan rasa yang memikat. Red velvet yang manis dengan aroma khas kakao memberikan kelezatan tersendiri pada kue ini",Makanan Penutup,34000,Bloomery Patisserie,Jakarta Selatan,Cilandak,"Jl. Haji Nawi Raya No. 28A, Cilandak, Jakarta Selatan"
90,Raspaberry Ice Cream,https://assets-pergikuliner.com/Z5KBvm-ylsEYkPnk3968EMEZx1k=/770x580/smart/filters:no_upscale()/https://assets-pergikuliner.com/uploads/image/picture/2227884/picture-1621496127.jpg,Es krim dengan rasa raspberry yang segar dan sedikit asam. Teksturnya yang lembut memberikan sensasi yang menyenangkan di mulut.,Makanan Penutup,45000,Paris Sorbet,Jakarta Selatan,Kebayoran Baru,"Jl. Sultan Hasanudin Dalam, Blok M, Kebayoran Baru, Jakarta Selatan"
91,Mille Crepes Matcha,https://assets-pergikuliner.com/TEn9FCZ4ybsb6fIpwwvaQnzFTgw=/770x580/smart/filters:no_upscale()/https://assets-pergikuliner.com/uploads/image/picture/2726010/picture-1669102986.jpg,Mille crepes yang disusun dengan sempurna dan diberi rasa matcha yang autentik. Setiap lapisannya menawarkan keseimbangan antara rasa manis dan sedikit pahit dari matcha,Makanan Penutup,33000,Bloomery Patisserie,Jakarta Selatan,Cilandak,"Jl. Haji Nawi Raya No. 28A, Cilandak, Jakarta Selatan"
92,Jasmine Mango Szechuan,https://manual.co.id/wp-content/uploads/2023/07/15_Flor-360_Website-980x719.jpg,Hidangan penutup unik yang memadukan kelembutan jasmine dengan rasa segar mangga dan sedikit sensasi pedas dari szechuan.,Makanan Penutup,84000,FLOR,Jakarta Selatan,Kebayoran Baru,"Jl. Gunawarman No.11 A, Selong, Kec. Kby. Baru, Jakarta, Daerah Khusus Ibukota Jakarta 12110"
93,Hazelnut,https://manual.co.id/wp-content/uploads/2023/07/14_Flor-378_Website-980x719.jpg,Hidangan penutup dengan rasa hazelnut yang kaya dan creamy. Setiap suapan memberikan rasa manis dengan aroma hazelnut yang khas,Makanan Penutup,84000,FLOR,Jakarta Selatan,Kebayoran Baru,"Jl. Gunawarman No.11 A, Selong, Kec. Kby. Baru, Jakarta, Daerah Khusus Ibukota Jakarta 12110"
94,Glass Jelly,https://assets-pergikuliner.com/fhilPpc3EpMxHnnycegNKwdwrEI=/770x580/smart/filters:no_upscale()/https://assets-pergikuliner.com/uploads/image/picture/2671367/picture-1665735290.jpg,"Minuman penutup dengan tekstur kenyal dan rasa manis yang ringan. Potongan jelly yang transparan ini berpadu dengan sirup manis, memberikan sensasi segar di mulut",Makanan Penutup,44000,Fat Bubble,Jakarta Selatan,Tebet,"Jl. Tebet Timur Dalam II No.47C, RT.3/RW.3, Tebet Tim., Kecamatan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820"
95,Lemon Meringue Piie,https://assets-pergikuliner.com/Lf_COJNDON9qM0TA0bIKO_P0s-Y=/770x580/smart/filters:no_upscale()/https://assets-pergikuliner.com/uploads/image/picture/3049610/picture-1695632514.JPG,"Kue pie lemon dengan lapisan meringue yang lembut dan sedikit gurih. Rasa asam dari lemon berpadu sempurna dengan manisnya meringue, menciptakan perpaduan rasa yang seimbang dan menyegarkan",Makanan Penutup,40000,MONSORA Dessert House,Jakarta Selatan,Kebayoran Baru,"Jl. Sunan Kalijaga No.1, RT.1/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160"
96,Caramel Butter Scones,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQg6_JAtkZ_RwaqQFUfFNSNGsDMHTbRGw66qLFBpEqvec68qKji8oaCLaHGO2aHj2uYhe0&usqp=CAU,Scones yang diperkaya dengan rasa caramel butter yang manis dan lembut. Teksturnya yang agak kering namun buttery membuatnya sempurna untuk dinikmati bersama teh atau kopi.,Makanan Penutup,25000,Sesame Bakery Room,Jakarta Selatan,Mampang Prapatan,"Jl. Kemang Timur No.17, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730"
97,Monsora Strawberry Cake,https://assets-pergikuliner.com/ZiKMyABkmUryy8CxjJXrMDXVfGc=/770x580/smart/filters:no_upscale()/https://assets-pergikuliner.com/uploads/image/picture/3184378/picture-1707294202.jpeg,Kue stroberi yang ringan dan lembut dengan lapisan krim manis. Potongan stroberi segar menambah kesan segar dan manis pada setiap gigitan,Makanan Penutup,55000,MONSORA Dessert House,Jakarta Selatan,Kebayoran Baru,"Jl. K.H. Wahid Hasyim No.37, RT.1/RW.6, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340"
98,Matcha Redbean,https://manual.co.id/wp-content/uploads/2023/09/sesame-web-4-980x719.jpg,Kue dengan rasa matcha yang kaya dan isian kacang merah yang manis. Perpaduan rasa klasik dari Jepang ini memberikan pengalaman rasa yang seimbang antara pahit dan manis,Makanan Penutup,40000,Sesame Bakery Room,Jakarta Selatan,Mampang Prapatan,"Jl. Kemang Timur No.17, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730"
99,Milkbun Thailand,https://asset.kompas.com/crops/v7dPLzKelX-CuscQ7ZKwRZXVI74=/0x424:667x868/750x500/data/photo/2024/02/16/65cf097a784c2.jpg,"Roti lembut dengan isian krim susu yang creamy dan manis, disajikan dengan topping susu kental manis",Makanan Penutup,25000,Jein Patisserie,Jakarta Selatan,Pancoran,"Jl. H. Samali No.72 8, RT.8/RW.4, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740"
100,Mixed Berries,https://i0.wp.com/dosiabrewer.com/www.dosiabrewer.com/blog/wp-content/uploads/2021/05/image.jpeg?fit=806%2C1200,"Pancake dengan rasa buah berries campuran yang manis dan sedikit asam, disajikan dengan topping krim atau saus buah yang segar. Tekstur pancake yang fluffy menjadikan hidangan ini pilihan sempurna untuk sarapan atau camilan sore",Makanan Penutup,55000,Baby Dutch Pancake,Jakarta Selatan,Setiabudi,"One Satrio, Jl. Prof Dr Satrio, Kuningan, Jakarta Selatan"